Customer_ID,Segment,Division,District
CUS-00155,B2B,Chittagong,Feni
CUS-00156,B2C,Chittagong,Cox's Bazar
CUS-00157,B2C,Dhaka,Narayanganj
CUS-00158,B2B,Mymensingh,Jamalpur
CUS-00160,B2C,Chittagong,Chittagong
CUS-00161,B2C,Khulna,Khulna
CUS-00162,B2C,Dhaka,Dhaka
CUS-00164,B2C,Rajshahi,Rajshahi
CUS-00166,B2B,Mymensingh,Jamalpur
CUS-00167,B2C,Khulna,Jessore
CUS-00170,B2C,Dhaka,Tangail
CUS-00171,B2C,Chittagong,Cox's Bazar
CUS-00173,B2C,Chittagong,Chittagong
CUS-00174,B2C,Sylhet,Habiganj
CUS-00175,B2C,Chittagong,Chittagong
CUS-00177,B2C,Khulna,
CUS-00178,B2C,Dhaka,Narayanganj
CUS-00179,B2C,Sylhet,Moulvibazar
CUS-00180,B2C,Dhaka,Gazipur
CUS-00183,B2B,Dhaka,Gazipur
CUS-00184,B2C,Dhaka,Tangail
CUS-00186,B2C,Chittagong,Chittagong
CUS-00187,B2B,Chittagong,Cumilla
CUS-00192,B2B,Chittagong,Cox's Bazar
CUS-00193,B2C,Barishal,Patuakhali
CUS-00194,B2C,Khulna,Satkhira
CUS-00195,B2C,Rajshahi,Pabna
CUS-00197,B2C,Dhaka,Dhaka
CUS-00198,B2C,Chittagong,Cox's Bazar
CUS-00199,B2B,Chittagong,Cumilla
CUS-00200,B2C,Barishal,Barishal
CUS-00201,B2C,Dhaka,Tangail
CUS-00204,B2B,Dhaka,Gazipur
CUS-00207,B2C,Mymensingh,Netrokona
CUS-00208,B2C,Chittagong,Feni
CUS-00210,B2C,Chittagong,Cumilla
CUS-00212,B2C,Dhaka,Narayanganj
CUS-00213,B2C,Rajshahi,Pabna
CUS-00214,B2C,Dhaka,Narayanganj
CUS-00216,B2C,Chittagong,Cox's Bazar
CUS-00217,B2C,Dhaka,Gazipur
CUS-00218,B2C,Dhaka,Dhaka
CUS-00219,B2C,Chittagong,Chittagong
CUS-00220,B2C,Dhaka,Gazipur
CUS-00222,B2C,Dhaka,Dhaka
CUS-00224,B2C,Chittagong,Feni
CUS-00226,B2C,Khulna,Jessore
CUS-00227,B2C,Mymensingh,Jamalpur
CUS-00228,B2C,Dhaka,Dhaka
CUS-00229,B2C,Rajshahi,Bogura
CUS-00231,B2C,Khulna,Khulna
CUS-00233,B2C,Khulna,Satkhira
CUS-00234,B2C,Dhaka,Dhaka
CUS-00236,B2B,Rajshahi,Bogura
CUS-00237,B2B,Dhaka,Gazipur
CUS-00241,B2C,Chittagong,Chittagong
CUS-00242,B2C,Dhaka,Narayanganj
CUS-00243,B2B,Dhaka,Gazipur
CUS-00244,B2B,Rangpur,Kurigram
CUS-00246,B2C,Dhaka,Dhaka
CUS-00248,B2C,Khulna,Jessore
CUS-00249,B2C,Chittagong,Feni
CUS-00250,B2C,Dhaka,Gazipur
CUS-00252,B2C,Dhaka,Gazipur
CUS-00253,B2C,Dhaka,Narayanganj
CUS-00256,B2C,Dhaka,Dhaka
CUS-00257,B2C,Dhaka,Gazipur
CUS-00258,B2C,Chittagong,Chittagong
CUS-00259,B2C,Mymensingh,Jamalpur
CUS-00261,B2C,Sylhet,Habiganj
CUS-00262,B2C,Dhaka,Narayanganj
CUS-00264,B2C,Dhaka,Narayanganj
CUS-00265,B2C,Dhaka,Narayanganj
CUS-00266,B2C,Chittagong,Chittagong
CUS-00267,B2C,Sylhet,Habiganj
CUS-00268,B2C,Barishal,Patuakhali
CUS-00271,B2B,Rajshahi,Rajshahi
CUS-00272,B2B,Dhaka,Narayanganj
CUS-00273,B2B,Dhaka,Narayanganj
CUS-00274,B2C,Rajshahi,Bogura
CUS-00276,B2C,Chittagong,Feni
CUS-00277,B2C,Dhaka,Narayanganj
CUS-00278,B2C,Rajshahi,Rajshahi
CUS-00279,B2C,Rajshahi,Rajshahi
CUS-00280,B2C,Dhaka,Narayanganj
CUS-00281,B2C,Sylhet,Sylhet
CUS-00283,B2C,Chittagong,Chittagong
CUS-00289,B2C,Khulna,Satkhira
CUS-00290,B2C,Rangpur,Rangpur
CUS-00293,B2C,Chittagong,Cox's Bazar
CUS-00297,B2C,Khulna,Satkhira
CUS-00299,B2C,Chittagong,Chittagong
CUS-00302,B2C,Dhaka,Gazipur
CUS-00303,B2C,Dhaka,Gazipur
CUS-00304,B2C,Chittagong,Feni
CUS-00305,B2C,Dhaka,Gazipur
CUS-00306,B2C,Dhaka,Tangail
CUS-00309,B2C,Dhaka,Tangail
CUS-00312,B2C,Rangpur,Rangpur
CUS-00314,B2B,Rajshahi,Bogura
CUS-00315,B2C,Dhaka,Narayanganj
CUS-00317,B2C,Sylhet,Habiganj
CUS-00319,B2C,Dhaka,Dhaka
CUS-00320,B2C,Khulna,Jessore
CUS-00321,B2C,Sylhet,Sylhet
CUS-00322,B2C,Khulna,Satkhira
CUS-00323,B2C,Khulna,Jessore
CUS-00325,B2C,Chittagong,Feni
CUS-00326,B2B,Dhaka,Tangail
CUS-00327,B2C,Khulna,Khulna
CUS-00328,B2B,Dhaka,Narayanganj
CUS-00329,B2C,Chittagong,Cox's Bazar
CUS-00331,B2C,Chittagong,Chittagong
CUS-00332,B2C,Dhaka,Dhaka
CUS-00337,B2C,Dhaka,Dhaka
CUS-00338,B2C,Barishal,Barishal
CUS-00341,B2C,Dhaka,Gazipur
CUS-00345,B2C,Khulna,Jessore
CUS-00346,B2C,Dhaka,Tangail
CUS-00347,B2C,Dhaka,Gazipur
CUS-00350,B2B,Dhaka,Dhaka
CUS-00351,B2C,Dhaka,Gazipur
CUS-00352,B2C,Chittagong,Cox's Bazar
CUS-00353,B2C,Rangpur,Rangpur
CUS-00354,B2C,Khulna,Satkhira
CUS-00356,B2C,Rajshahi,Bogura
CUS-00359,B2C,Dhaka,Dhaka
CUS-00360,B2C,Khulna,Jessore
CUS-00361,B2C,Dhaka,Narayanganj
CUS-00362,B2C,Mymensingh,Netrokona
CUS-00363,B2C,Dhaka,Dhaka
CUS-00364,B2B,Dhaka,Gazipur
CUS-00365,B2C,Rangpur,Dinajpur
CUS-00366,B2C,Dhaka,Tangail
CUS-00367,B2C,Rajshahi,Pabna
CUS-00368,B2C,Rajshahi,Rajshahi
CUS-00374,B2C,Khulna,Jessore
CUS-00377,B2C,Khulna,Satkhira
CUS-00379,B2C,Rangpur,Rangpur
CUS-00382,B2C,Dhaka,Dhaka
CUS-00383,B2C,Sylhet,Sylhet
CUS-00384,B2C,Rajshahi,Bogura
CUS-00385,B2C,Chittagong,Chittagong
CUS-00386,B2B,Dhaka,Gazipur
CUS-00389,B2C,Rangpur,Rangpur
CUS-00391,B2C,Dhaka,Narayanganj
CUS-00392,B2C,Chittagong,Chittagong
CUS-00393,B2C,Dhaka,Narayanganj
CUS-00394,B2C,Mymensingh,Mymensingh
CUS-00396,B2C,Chittagong,Feni
CUS-00397,B2C,Dhaka,Narayanganj
CUS-00400,B2B,Rajshahi,Rajshahi
CUS-00401,B2C,Dhaka,Tangail
CUS-00402,B2C,Dhaka,Dhaka
CUS-00403,B2C,Dhaka,Tangail
CUS-00404,B2C,Khulna,Jessore
CUS-00406,B2C,Khulna,Khulna
CUS-00407,B2B,Barishal,Patuakhali
CUS-00409,B2C,Chittagong,Chittagong
CUS-00411,B2C,Dhaka,Dhaka
CUS-00412,B2C,Khulna,Jessore
CUS-00413,B2C,Sylhet,Moulvibazar
CUS-00415,B2C,Chittagong,Cox's Bazar
CUS-00416,B2C,Sylhet,Sylhet
CUS-00419,B2C,Chittagong,Chittagong
CUS-00420,B2C,Dhaka,Gazipur
CUS-00421,B2C,Dhaka,Dhaka
CUS-00422,B2C,Rangpur,Kurigram
CUS-00428,B2C,Dhaka,Dhaka
CUS-00431,B2C,Rajshahi,Rajshahi
CUS-00432,B2C,Khulna,Jessore
CUS-00436,B2C,Dhaka,Gazipur
CUS-00438,B2B,Sylhet,Habiganj
CUS-00439,B2C,Dhaka,Dhaka
CUS-00442,B2B,Sylhet,Moulvibazar
CUS-00445,B2C,Khulna,Satkhira
CUS-00446,B2C,Dhaka,Tangail
CUS-00447,B2C,Dhaka,Gazipur
CUS-00448,B2C,Rajshahi,Bogura
CUS-00449,B2C,Khulna,Jessore
CUS-00451,B2C,Rajshahi,Bogura
CUS-00452,B2C,Khulna,Satkhira
CUS-00454,B2C,Dhaka,Dhaka
CUS-00458,B2C,Barishal,Bhola
CUS-00461,B2C,Dhaka,Gazipur
CUS-00462,B2C,Dhaka,Dhaka
CUS-00463,B2C,Sylhet,Moulvibazar
CUS-00465,B2C,Khulna,Khulna
CUS-00468,B2B,Sylhet,Moulvibazar
CUS-00469,B2C,Dhaka,Dhaka
CUS-00470,B2C,Rajshahi,Bogura
CUS-00472,B2C,Dhaka,Tangail
CUS-00474,B2C,Dhaka,Tangail
CUS-00475,B2C,Rangpur,Kurigram
CUS-00476,B2C,Dhaka,Dhaka
CUS-00478,B2C,Dhaka,Tangail
CUS-00479,B2C,Rajshahi,Pabna
CUS-00480,B2B,Dhaka,Narayanganj
CUS-00481,B2C,Dhaka,Gazipur
CUS-00483,B2C,Rangpur,Rangpur
CUS-00484,B2C,Dhaka,Narayanganj
CUS-00485,B2C,Dhaka,Tangail
CUS-00486,B2C,Rajshahi,Bogura
CUS-00488,B2C,Rangpur,Rangpur
CUS-00489,B2C,Dhaka,Narayanganj
CUS-00490,B2C,Khulna,Khulna
CUS-00492,B2B,Dhaka,Narayanganj
CUS-00494,B2C,Khulna,Jessore
CUS-00495,B2C,Rajshahi,Pabna
CUS-00497,B2B,Chittagong,Chittagong
CUS-00498,B2C,Chittagong,Cumilla
CUS-00499,B2C,Mymensingh,Netrokona
CUS-00500,B2C,Dhaka,Narayanganj
CUS-00501,B2C,Dhaka,
CUS-00502,B2C,Dhaka,Dhaka
CUS-00504,B2C,Dhaka,Narayanganj
CUS-00505,B2C,Rangpur,Dinajpur
CUS-00507,B2C,Barishal,Patuakhali
CUS-00508,B2C,Dhaka,Gazipur
CUS-00509,B2C,Khulna,Khulna
CUS-00510,B2C,Barishal,Barishal
CUS-00511,B2C,Dhaka,Gazipur
CUS-00512,B2C,Mymensingh,Mymensingh
CUS-00513,B2C,Chittagong,Cumilla
CUS-00514,B2C,Rangpur,Kurigram
CUS-00518,B2C,Dhaka,Dhaka
CUS-00519,B2C,Dhaka,Narayanganj
CUS-00521,B2C,Dhaka,Dhaka
CUS-00523,B2C,Sylhet,Habiganj
CUS-00524,B2C,Dhaka,Narayanganj
CUS-00526,B2C,Khulna,Khulna
CUS-00527,B2C,Dhaka,Dhaka
CUS-00530,B2C,Rangpur,Dinajpur
CUS-00531,B2C,Sylhet,Sylhet
CUS-00532,B2C,Dhaka,Gazipur
CUS-00533,B2B,Khulna,Jessore
CUS-00534,B2C,Chittagong,Cumilla
CUS-00535,B2C,Khulna,Jessore
CUS-00536,B2C,Rajshahi,Bogura
CUS-00537,B2C,Khulna,Satkhira
CUS-00539,B2C,Dhaka,Dhaka
CUS-00541,B2C,Barishal,Bhola
CUS-00542,B2B,Chittagong,Feni
CUS-00544,B2C,Mymensingh,Jamalpur
CUS-00548,B2C,Mymensingh,Jamalpur
CUS-00550,B2C,Rajshahi,Bogura
CUS-00551,B2C,Dhaka,Dhaka
CUS-00552,B2C,Sylhet,Habiganj
CUS-00554,B2C,Sylhet,Sylhet
CUS-00555,B2C,Rangpur,Dinajpur
CUS-00556,B2C,Chittagong,Chittagong
CUS-00559,B2C,Chittagong,Cumilla
CUS-00561,B2C,Rajshahi,Pabna
CUS-00562,B2C,Rangpur,Kurigram
CUS-00565,B2C,Barishal,Patuakhali
CUS-00566,B2C,Rajshahi,Bogura
CUS-00568,B2C,Dhaka,Narayanganj
CUS-00569,B2C,Dhaka,Dhaka
CUS-00570,B2C,Rangpur,Rangpur
CUS-00572,B2C,Rajshahi,Bogura
CUS-00575,B2C,Dhaka,Dhaka
CUS-00576,B2C,Dhaka,Dhaka
CUS-00578,B2B,Dhaka,Gazipur
CUS-00581,B2C,Khulna,Khulna
CUS-00582,B2C,Chittagong,Chittagong
CUS-00583,B2C,Khulna,Jessore
CUS-00584,B2C,Dhaka,Gazipur
CUS-00585,B2C,Dhaka,Dhaka
CUS-00587,B2C,Dhaka,Tangail
CUS-00592,B2B,Khulna,Jessore
CUS-00593,B2B,Mymensingh,Netrokona
CUS-00595,B2C,Chittagong,Chittagong
CUS-00596,B2C,Sylhet,Sylhet
CUS-00597,B2B,Dhaka,Dhaka
CUS-00598,B2B,Mymensingh,Mymensingh
CUS-00599,B2C,Mymensingh,Netrokona
CUS-00607,B2C,Dhaka,Tangail
CUS-00608,B2C,Mymensingh,Jamalpur
CUS-00610,B2C,Chittagong,Cox's Bazar
CUS-00611,B2C,Dhaka,Tangail
CUS-00612,B2C,Mymensingh,Jamalpur
CUS-00615,B2C,Dhaka,Dhaka
CUS-00616,B2C,Dhaka,Dhaka
CUS-00619,B2C,Rangpur,Dinajpur
CUS-00620,B2C,Chittagong,Cumilla
CUS-00622,B2C,Chittagong,Cox's Bazar
CUS-00624,B2C,Rajshahi,Pabna
CUS-00625,B2C,Dhaka,Narayanganj
CUS-00627,B2C,Khulna,Jessore
CUS-00628,B2C,Dhaka,Gazipur
CUS-00631,B2C,Mymensingh,Netrokona
CUS-00632,B2C,Chittagong,Cumilla
CUS-00634,B2C,Chittagong,Chittagong
CUS-00636,B2C,Khulna,Jessore
CUS-00639,B2C,Khulna,
CUS-00644,B2C,Dhaka,Dhaka
CUS-00646,B2C,Dhaka,Tangail
CUS-00647,B2C,Dhaka,Narayanganj
CUS-00648,B2C,Rajshahi,Bogura
CUS-00649,B2B,Dhaka,Gazipur
CUS-00650,B2C,Chittagong,Cumilla
CUS-00652,B2C,Rangpur,Kurigram
CUS-00653,B2C,Barishal,Barishal
CUS-00654,B2C,Barishal,Patuakhali
CUS-00659,B2C,Dhaka,Tangail
CUS-00660,B2B,Khulna,Khulna
CUS-00662,B2C,Chittagong,Cumilla
CUS-00663,B2C,Dhaka,Dhaka
CUS-00671,B2C,Dhaka,Narayanganj
CUS-00672,B2C,Dhaka,Tangail
CUS-00676,B2C,Dhaka,Dhaka
CUS-00678,B2C,Khulna,Satkhira
CUS-00679,B2C,Chittagong,Cumilla
CUS-00680,B2C,Chittagong,Cox's Bazar
CUS-00681,B2C,Dhaka,Dhaka
CUS-00684,B2B,Mymensingh,Netrokona
CUS-00685,B2C,Chittagong,Chittagong
CUS-00686,B2C,Chittagong,Chittagong
CUS-00688,B2C,Rangpur,Rangpur
CUS-00689,B2B,Sylhet,Habiganj
CUS-00692,B2B,Khulna,Khulna
CUS-00693,B2C,Chittagong,Cox's Bazar
CUS-00696,B2C,Dhaka,Tangail
CUS-00697,B2C,Rangpur,Dinajpur
CUS-00699,B2C,Rangpur,Dinajpur
CUS-00701,B2C,Khulna,Jessore
CUS-00702,B2B,Chittagong,Chittagong
CUS-00706,B2C,Khulna,Jessore
CUS-00707,B2C,Chittagong,Chittagong
CUS-00708,B2C,Sylhet,Sylhet
CUS-00710,B2C,Dhaka,Narayanganj
CUS-00711,B2C,Chittagong,Cox's Bazar
CUS-00712,B2C,Rangpur,Kurigram
CUS-00713,B2C,Rajshahi,Pabna
CUS-00716,B2C,Dhaka,Gazipur
CUS-00717,B2C,Mymensingh,Jamalpur
CUS-00718,B2C,Khulna,Jessore
CUS-00720,B2C,Khulna,Khulna
CUS-00721,B2C,Dhaka,Dhaka
CUS-00726,B2C,Rajshahi,Rajshahi
CUS-00728,B2C,Khulna,Jessore
CUS-00732,B2C,Dhaka,Narayanganj
CUS-00733,B2C,Dhaka,Narayanganj
CUS-00736,B2C,Rajshahi,Bogura
CUS-00738,B2C,Dhaka,Tangail
CUS-00739,B2C,Dhaka,Narayanganj
CUS-00740,B2C,Dhaka,Tangail
CUS-00743,B2C,Dhaka,Dhaka
CUS-00744,B2C,Barishal,Patuakhali
CUS-00746,B2C,Dhaka,Tangail
CUS-00747,B2C,Dhaka,Tangail
CUS-00748,B2C,Dhaka,Dhaka
CUS-00749,B2C,Rajshahi,Bogura
CUS-00750,B2C,Sylhet,Sylhet
CUS-00752,B2C,Dhaka,Tangail
CUS-00753,B2B,Sylhet,Sylhet
CUS-00754,B2C,Khulna,Jessore
CUS-00755,B2C,Dhaka,Narayanganj
CUS-00756,B2C,Khulna,Jessore
CUS-00757,B2C,Dhaka,Dhaka
CUS-00759,B2C,Rajshahi,Pabna
CUS-00760,B2C,Sylhet,Moulvibazar
CUS-00762,B2C,Rangpur,Rangpur
CUS-00766,B2C,Barishal,Bhola
CUS-00767,B2C,Barishal,Patuakhali
CUS-00768,B2C,Dhaka,Tangail
CUS-00769,B2C,Rangpur,Kurigram
CUS-00770,B2C,Sylhet,Moulvibazar
CUS-00772,B2C,Dhaka,Gazipur
CUS-00775,B2C,Dhaka,Dhaka
CUS-00778,B2C,Dhaka,Narayanganj
CUS-00780,B2C,Khulna,Satkhira
CUS-00782,B2C,Dhaka,Narayanganj
CUS-00783,B2C,Mymensingh,Jamalpur
CUS-00786,B2B,Dhaka,Tangail
CUS-00787,B2C,Chittagong,Chittagong
CUS-00788,B2C,Rangpur,Kurigram
CUS-00789,B2C,Khulna,Satkhira
CUS-00790,B2C,Sylhet,Habiganj
CUS-00792,B2B,Chittagong,Cox's Bazar
CUS-00793,B2B,Chittagong,Cox's Bazar
CUS-00794,B2C,Chittagong,Chittagong
CUS-00796,B2B,Rajshahi,Pabna
CUS-00797,B2C,Chittagong,Cox's Bazar
CUS-00798,B2C,Rajshahi,Pabna
CUS-00800,B2C,Dhaka,Dhaka
CUS-00801,B2C,Khulna,Satkhira
CUS-00803,B2B,Barishal,Barishal
CUS-00804,B2C,Khulna,Jessore
CUS-00805,B2C,Dhaka,Tangail
CUS-00806,B2C,Mymensingh,Jamalpur
CUS-00807,B2C,Chittagong,Cox's Bazar
CUS-00808,B2B,Dhaka,Gazipur
CUS-00809,B2C,Khulna,Satkhira
CUS-00811,B2C,Sylhet,Moulvibazar
CUS-00812,B2C,Sylhet,Habiganj
CUS-00814,B2C,Chittagong,Chittagong
CUS-00815,B2C,Chittagong,Feni
CUS-00817,B2C,Dhaka,Dhaka
CUS-00818,B2C,Chittagong,Feni
CUS-00821,B2C,Chittagong,Chittagong
CUS-00822,B2C,Barishal,Barishal
CUS-00824,B2C,Dhaka,Dhaka
CUS-00825,B2C,Dhaka,Dhaka
CUS-00826,B2C,Dhaka,Narayanganj
CUS-00829,B2C,Rajshahi,Rajshahi
CUS-00830,B2C,Dhaka,Dhaka
CUS-00832,B2B,Dhaka,Gazipur
CUS-00837,B2C,Rajshahi,Rajshahi
CUS-00839,B2B,Dhaka,Gazipur
CUS-00840,B2B,Barishal,Patuakhali
CUS-00842,B2C,Dhaka,Gazipur
CUS-00844,B2B,Dhaka,Narayanganj
CUS-00848,B2C,Chittagong,Chittagong
CUS-00849,B2C,Sylhet,Habiganj
CUS-00852,B2C,Rangpur,Kurigram
CUS-00854,B2C,Chittagong,Cox's Bazar
CUS-00859,B2C,Sylhet,Habiganj
CUS-00861,B2C,Chittagong,Chittagong
CUS-00864,B2C,Khulna,Khulna
CUS-00865,B2C,Dhaka,Dhaka
CUS-00869,B2C,Dhaka,Dhaka
CUS-00870,B2C,Dhaka,Narayanganj
CUS-00873,B2C,Dhaka,Gazipur
CUS-00877,B2B,Dhaka,Gazipur
CUS-00878,B2C,Chittagong,Cox's Bazar
CUS-00881,B2C,Chittagong,Cumilla
CUS-00882,B2C,Mymensingh,Jamalpur
CUS-00885,B2C,Dhaka,Gazipur
CUS-00887,B2C,Rajshahi,Bogura
CUS-00891,B2C,Chittagong,Feni
CUS-00892,B2C,Sylhet,Habiganj
CUS-00893,B2B,Dhaka,Dhaka
CUS-00895,B2C,Dhaka,Gazipur
CUS-00898,B2B,Barishal,Barishal
CUS-00900,B2C,Barishal,Bhola
CUS-00906,B2C,Dhaka,Gazipur
CUS-00907,B2B,Chittagong,Cumilla
CUS-00908,B2C,Dhaka,Tangail
CUS-00910,B2C,Rangpur,Rangpur
CUS-00912,B2C,Dhaka,Gazipur
CUS-00913,B2B,Rangpur,Kurigram
CUS-00914,B2C,Chittagong,Cumilla
CUS-00916,B2B,Rajshahi,Bogura
CUS-00918,B2C,Mymensingh,Jamalpur
CUS-00919,B2C,Dhaka,Tangail
CUS-00921,B2C,Dhaka,Gazipur
CUS-00922,B2C,Dhaka,Dhaka
CUS-00923,B2C,Dhaka,Gazipur
CUS-00924,B2C,Mymensingh,Mymensingh
CUS-00925,B2C,Sylhet,Moulvibazar
CUS-00929,B2B,Dhaka,Dhaka
CUS-00931,B2C,Dhaka,Narayanganj
CUS-00932,B2C,Rajshahi,Pabna
CUS-00933,B2C,Chittagong,Cumilla
CUS-00938,B2C,Rangpur,Rangpur
CUS-00940,B2C,Sylhet,Moulvibazar
CUS-00941,B2C,Chittagong,Feni
CUS-00943,B2C,Dhaka,Dhaka
CUS-00944,B2C,Barishal,Bhola
CUS-00947,B2C,Chittagong,Cox's Bazar
CUS-00948,B2C,Chittagong,Chittagong
CUS-00949,B2C,Khulna,Satkhira
CUS-00950,B2C,Rangpur,Dinajpur
CUS-00951,B2C,Khulna,Jessore
CUS-00952,B2C,Chittagong,Feni
CUS-00954,B2C,Dhaka,Dhaka
CUS-00955,B2C,Dhaka,Dhaka
CUS-00957,B2C,Rajshahi,Rajshahi
CUS-00960,B2C,Sylhet,Habiganj
CUS-00962,B2C,Dhaka,Gazipur
CUS-00963,B2C,Dhaka,Tangail
CUS-00967,B2C,Chittagong,Feni
CUS-00969,B2C,Dhaka,Dhaka
CUS-00970,B2C,Dhaka,Dhaka
CUS-00972,B2C,Khulna,Jessore
CUS-00976,B2C,Chittagong,Chittagong
CUS-00977,B2C,Chittagong,Chittagong
CUS-00980,B2C,Dhaka,Tangail
CUS-00981,B2C,Khulna,Satkhira
CUS-00982,B2C,Dhaka,Gazipur
CUS-00983,B2C,Dhaka,Dhaka
CUS-00985,B2C,Dhaka,Dhaka
CUS-00986,B2C,Sylhet,Moulvibazar
CUS-00987,B2C,Sylhet,Moulvibazar
CUS-00990,B2C,Dhaka,Tangail
CUS-00991,B2B,Rajshahi,Bogura
CUS-00994,B2C,Rangpur,Dinajpur
CUS-00997,B2C,Dhaka,Dhaka
CUS-00999,B2C,Dhaka,Tangail
CUS-01000,B2C,Dhaka,Gazipur
CUS-01001,B2C,Rajshahi,Bogura
CUS-01003,B2C,Rangpur,Dinajpur
CUS-01004,B2C,Khulna,Jessore
CUS-01005,B2C,Dhaka,Tangail
CUS-01007,B2C,Dhaka,Gazipur
CUS-01008,B2C,Dhaka,Gazipur
CUS-01010,B2B,Dhaka,Tangail
CUS-01011,B2C,Chittagong,Cox's Bazar
CUS-01012,B2C,Dhaka,Dhaka
CUS-01013,B2C,Chittagong,Cumilla
CUS-01015,B2C,Sylhet,Moulvibazar
CUS-01016,B2C,Sylhet,Sylhet
CUS-01019,B2C,Dhaka,Tangail
CUS-01020,B2C,Dhaka,Gazipur
CUS-01021,B2C,Sylhet,Habiganj
CUS-01023,B2C,Dhaka,Gazipur
CUS-01024,B2B,Dhaka,Gazipur
CUS-01025,B2C,Dhaka,Tangail
CUS-01026,B2C,Khulna,Satkhira
CUS-01027,B2C,Dhaka,Gazipur
CUS-01028,B2B,Mymensingh,Jamalpur
CUS-01030,B2C,Chittagong,Cox's Bazar
CUS-01032,B2C,Rangpur,Kurigram
CUS-01036,B2C,Sylhet,
CUS-01038,B2C,Khulna,Satkhira
CUS-01041,B2C,Rangpur,Rangpur
CUS-01042,B2B,Dhaka,Narayanganj
CUS-01045,B2C,Rajshahi,Rajshahi
CUS-01046,B2C,Khulna,Khulna
CUS-01049,B2C,Rajshahi,Rajshahi
CUS-01051,B2C,Chittagong,Cumilla
CUS-01052,B2C,Dhaka,Dhaka
CUS-01053,B2C,Dhaka,Dhaka
CUS-01054,B2C,Dhaka,Dhaka
