Date_ID,Order_Date,Year,Quarter,Month,Month_Name,Day,Weekday,Is_Weekend
DATE-20230406,2023-04-06,2023,Q2,4,April,6,Thursday,False
DATE-20230407,2023-04-07,2023,Q2,4,April,7,Friday,True
DATE-20230408,2023-04-08,2023,Q2,4,April,8,Saturday,True
DATE-20230409,2023-04-09,2023,Q2,4,April,9,Sunday,False
DATE-20230410,2023-04-10,2023,Q2,4,April,10,Monday,False
DATE-20230411,2023-04-11,2023,Q2,4,April,11,Tuesday,False
DATE-20230412,2023-04-12,2023,Q2,4,April,12,Wednesday,False
DATE-20230413,2023-04-13,2023,Q2,4,April,13,Thursday,False
DATE-20230414,2023-04-14,2023,Q2,4,April,14,Friday,True
DATE-20230415,2023-04-15,2023,Q2,4,April,15,Saturday,True
DATE-20230416,2023-04-16,2023,Q2,4,April,16,Sunday,False
DATE-20230417,2023-04-17,2023,Q2,4,April,17,Monday,False
DATE-20230418,2023-04-18,2023,Q2,4,April,18,Tuesday,False
DATE-20230419,2023-04-19,2023,Q2,4,April,19,Wednesday,False
DATE-20230420,2023-04-20,2023,Q2,4,April,20,Thursday,False
DATE-20230421,2023-04-21,2023,Q2,4,April,21,Friday,True
DATE-20230422,2023-04-22,2023,Q2,4,April,22,Saturday,True
DATE-20230423,2023-04-23,2023,Q2,4,April,23,Sunday,False
DATE-20230424,2023-04-24,2023,Q2,4,April,24,Monday,False
DATE-20230425,2023-04-25,2023,Q2,4,April,25,Tuesday,False
DATE-20230426,2023-04-26,2023,Q2,4,April,26,Wednesday,False
DATE-20230427,2023-04-27,2023,Q2,4,April,27,Thursday,False
DATE-20230428,2023-04-28,2023,Q2,4,April,28,Friday,True
DATE-20230429,2023-04-29,2023,Q2,4,April,29,Saturday,True
DATE-20230430,2023-04-30,2023,Q2,4,April,30,Sunday,False
DATE-20230501,2023-05-01,2023,Q2,5,May,1,Monday,False
DATE-20230502,2023-05-02,2023,Q2,5,May,2,Tuesday,False
DATE-20230503,2023-05-03,2023,Q2,5,May,3,Wednesday,False
DATE-20230504,2023-05-04,2023,Q2,5,May,4,Thursday,False
DATE-20230505,2023-05-05,2023,Q2,5,May,5,Friday,True
DATE-20230506,2023-05-06,2023,Q2,5,May,6,Saturday,True
DATE-20230507,2023-05-07,2023,Q2,5,May,7,Sunday,False
DATE-20230508,2023-05-08,2023,Q2,5,May,8,Monday,False
DATE-20230509,2023-05-09,2023,Q2,5,May,9,Tuesday,False
DATE-20230510,2023-05-10,2023,Q2,5,May,10,Wednesday,False
DATE-20230511,2023-05-11,2023,Q2,5,May,11,Thursday,False
DATE-20230512,2023-05-12,2023,Q2,5,May,12,Friday,True
DATE-20230513,2023-05-13,2023,Q2,5,May,13,Saturday,True
DATE-20230514,2023-05-14,2023,Q2,5,May,14,Sunday,False
DATE-20230515,2023-05-15,2023,Q2,5,May,15,Monday,False
DATE-20230516,2023-05-16,2023,Q2,5,May,16,Tuesday,False
DATE-20230517,2023-05-17,2023,Q2,5,May,17,Wednesday,False
DATE-20230518,2023-05-18,2023,Q2,5,May,18,Thursday,False
DATE-20230519,2023-05-19,2023,Q2,5,May,19,Friday,True
DATE-20230520,2023-05-20,2023,Q2,5,May,20,Saturday,True
DATE-20230521,2023-05-21,2023,Q2,5,May,21,Sunday,False
DATE-20230522,2023-05-22,2023,Q2,5,May,22,Monday,False
DATE-20230523,2023-05-23,2023,Q2,5,May,23,Tuesday,False
DATE-20230524,2023-05-24,2023,Q2,5,May,24,Wednesday,False
DATE-20230525,2023-05-25,2023,Q2,5,May,25,Thursday,False
DATE-20230526,2023-05-26,2023,Q2,5,May,26,Friday,True
DATE-20230527,2023-05-27,2023,Q2,5,May,27,Saturday,True
DATE-20230528,2023-05-28,2023,Q2,5,May,28,Sunday,False
DATE-20230529,2023-05-29,2023,Q2,5,May,29,Monday,False
DATE-20230530,2023-05-30,2023,Q2,5,May,30,Tuesday,False
DATE-20230531,2023-05-31,2023,Q2,5,May,31,Wednesday,False
DATE-20230601,2023-06-01,2023,Q2,6,June,1,Thursday,False
DATE-20230602,2023-06-02,2023,Q2,6,June,2,Friday,True
DATE-20230603,2023-06-03,2023,Q2,6,June,3,Saturday,True
DATE-20230604,2023-06-04,2023,Q2,6,June,4,Sunday,False
DATE-20230605,2023-06-05,2023,Q2,6,June,5,Monday,False
DATE-20230606,2023-06-06,2023,Q2,6,June,6,Tuesday,False
DATE-20230607,2023-06-07,2023,Q2,6,June,7,Wednesday,False
DATE-20230608,2023-06-08,2023,Q2,6,June,8,Thursday,False
DATE-20230609,2023-06-09,2023,Q2,6,June,9,Friday,True
DATE-20230610,2023-06-10,2023,Q2,6,June,10,Saturday,True
DATE-20230611,2023-06-11,2023,Q2,6,June,11,Sunday,False
DATE-20230612,2023-06-12,2023,Q2,6,June,12,Monday,False
DATE-20230613,2023-06-13,2023,Q2,6,June,13,Tuesday,False
DATE-20230614,2023-06-14,2023,Q2,6,June,14,Wednesday,False
DATE-20230615,2023-06-15,2023,Q2,6,June,15,Thursday,False
DATE-20230616,2023-06-16,2023,Q2,6,June,16,Friday,True
DATE-20230617,2023-06-17,2023,Q2,6,June,17,Saturday,True
DATE-20230618,2023-06-18,2023,Q2,6,June,18,Sunday,False
DATE-20230619,2023-06-19,2023,Q2,6,June,19,Monday,False
DATE-20230620,2023-06-20,2023,Q2,6,June,20,Tuesday,False
DATE-20230621,2023-06-21,2023,Q2,6,June,21,Wednesday,False
DATE-20230622,2023-06-22,2023,Q2,6,June,22,Thursday,False
DATE-20230623,2023-06-23,2023,Q2,6,June,23,Friday,True
DATE-20230624,2023-06-24,2023,Q2,6,June,24,Saturday,True
DATE-20230625,2023-06-25,2023,Q2,6,June,25,Sunday,False
DATE-20230626,2023-06-26,2023,Q2,6,June,26,Monday,False
DATE-20230627,2023-06-27,2023,Q2,6,June,27,Tuesday,False
DATE-20230628,2023-06-28,2023,Q2,6,June,28,Wednesday,False
DATE-20230629,2023-06-29,2023,Q2,6,June,29,Thursday,False
DATE-20230630,2023-06-30,2023,Q2,6,June,30,Friday,True
DATE-20230701,2023-07-01,2023,Q3,7,July,1,Saturday,True
DATE-20230702,2023-07-02,2023,Q3,7,July,2,Sunday,False
DATE-20230703,2023-07-03,2023,Q3,7,July,3,Monday,False
DATE-20230704,2023-07-04,2023,Q3,7,July,4,Tuesday,False
DATE-20230705,2023-07-05,2023,Q3,7,July,5,Wednesday,False
DATE-20230706,2023-07-06,2023,Q3,7,July,6,Thursday,False
DATE-20230707,2023-07-07,2023,Q3,7,July,7,Friday,True
DATE-20230708,2023-07-08,2023,Q3,7,July,8,Saturday,True
DATE-20230709,2023-07-09,2023,Q3,7,July,9,Sunday,False
DATE-20230710,2023-07-10,2023,Q3,7,July,10,Monday,False
DATE-20230711,2023-07-11,2023,Q3,7,July,11,Tuesday,False
DATE-20230712,2023-07-12,2023,Q3,7,July,12,Wednesday,False
DATE-20230713,2023-07-13,2023,Q3,7,July,13,Thursday,False
DATE-20230714,2023-07-14,2023,Q3,7,July,14,Friday,True
DATE-20230715,2023-07-15,2023,Q3,7,July,15,Saturday,True
DATE-20230716,2023-07-16,2023,Q3,7,July,16,Sunday,False
DATE-20230717,2023-07-17,2023,Q3,7,July,17,Monday,False
DATE-20230718,2023-07-18,2023,Q3,7,July,18,Tuesday,False
DATE-20230719,2023-07-19,2023,Q3,7,July,19,Wednesday,False
DATE-20230720,2023-07-20,2023,Q3,7,July,20,Thursday,False
DATE-20230721,2023-07-21,2023,Q3,7,July,21,Friday,True
DATE-20230722,2023-07-22,2023,Q3,7,July,22,Saturday,True
DATE-20230723,2023-07-23,2023,Q3,7,July,23,Sunday,False
DATE-20230724,2023-07-24,2023,Q3,7,July,24,Monday,False
DATE-20230725,2023-07-25,2023,Q3,7,July,25,Tuesday,False
DATE-20230726,2023-07-26,2023,Q3,7,July,26,Wednesday,False
DATE-20230727,2023-07-27,2023,Q3,7,July,27,Thursday,False
DATE-20230728,2023-07-28,2023,Q3,7,July,28,Friday,True
DATE-20230729,2023-07-29,2023,Q3,7,July,29,Saturday,True
DATE-20230730,2023-07-30,2023,Q3,7,July,30,Sunday,False
DATE-20230731,2023-07-31,2023,Q3,7,July,31,Monday,False
DATE-20230801,2023-08-01,2023,Q3,8,August,1,Tuesday,False
DATE-20230802,2023-08-02,2023,Q3,8,August,2,Wednesday,False
DATE-20230803,2023-08-03,2023,Q3,8,August,3,Thursday,False
DATE-20230804,2023-08-04,2023,Q3,8,August,4,Friday,True
DATE-20230805,2023-08-05,2023,Q3,8,August,5,Saturday,True
DATE-20230806,2023-08-06,2023,Q3,8,August,6,Sunday,False
DATE-20230807,2023-08-07,2023,Q3,8,August,7,Monday,False
DATE-20230808,2023-08-08,2023,Q3,8,August,8,Tuesday,False
DATE-20230809,2023-08-09,2023,Q3,8,August,9,Wednesday,False
DATE-20230810,2023-08-10,2023,Q3,8,August,10,Thursday,False
DATE-20230811,2023-08-11,2023,Q3,8,August,11,Friday,True
DATE-20230812,2023-08-12,2023,Q3,8,August,12,Saturday,True
DATE-20230813,2023-08-13,2023,Q3,8,August,13,Sunday,False
DATE-20230814,2023-08-14,2023,Q3,8,August,14,Monday,False
DATE-20230815,2023-08-15,2023,Q3,8,August,15,Tuesday,False
DATE-20230816,2023-08-16,2023,Q3,8,August,16,Wednesday,False
DATE-20230817,2023-08-17,2023,Q3,8,August,17,Thursday,False
DATE-20230818,2023-08-18,2023,Q3,8,August,18,Friday,True
DATE-20230819,2023-08-19,2023,Q3,8,August,19,Saturday,True
DATE-20230820,2023-08-20,2023,Q3,8,August,20,Sunday,False
DATE-20230821,2023-08-21,2023,Q3,8,August,21,Monday,False
DATE-20230822,2023-08-22,2023,Q3,8,August,22,Tuesday,False
DATE-20230823,2023-08-23,2023,Q3,8,August,23,Wednesday,False
DATE-20230824,2023-08-24,2023,Q3,8,August,24,Thursday,False
DATE-20230825,2023-08-25,2023,Q3,8,August,25,Friday,True
DATE-20230826,2023-08-26,2023,Q3,8,August,26,Saturday,True
DATE-20230827,2023-08-27,2023,Q3,8,August,27,Sunday,False
DATE-20230828,2023-08-28,2023,Q3,8,August,28,Monday,False
DATE-20230829,2023-08-29,2023,Q3,8,August,29,Tuesday,False
DATE-20230830,2023-08-30,2023,Q3,8,August,30,Wednesday,False
DATE-20230831,2023-08-31,2023,Q3,8,August,31,Thursday,False
DATE-20230901,2023-09-01,2023,Q3,9,September,1,Friday,True
DATE-20230902,2023-09-02,2023,Q3,9,September,2,Saturday,True
DATE-20230903,2023-09-03,2023,Q3,9,September,3,Sunday,False
DATE-20230904,2023-09-04,2023,Q3,9,September,4,Monday,False
DATE-20230905,2023-09-05,2023,Q3,9,September,5,Tuesday,False
DATE-20230906,2023-09-06,2023,Q3,9,September,6,Wednesday,False
DATE-20230907,2023-09-07,2023,Q3,9,September,7,Thursday,False
DATE-20230908,2023-09-08,2023,Q3,9,September,8,Friday,True
DATE-20230909,2023-09-09,2023,Q3,9,September,9,Saturday,True
DATE-20230910,2023-09-10,2023,Q3,9,September,10,Sunday,False
DATE-20230911,2023-09-11,2023,Q3,9,September,11,Monday,False
DATE-20230912,2023-09-12,2023,Q3,9,September,12,Tuesday,False
DATE-20230913,2023-09-13,2023,Q3,9,September,13,Wednesday,False
DATE-20230914,2023-09-14,2023,Q3,9,September,14,Thursday,False
DATE-20230915,2023-09-15,2023,Q3,9,September,15,Friday,True
DATE-20230916,2023-09-16,2023,Q3,9,September,16,Saturday,True
DATE-20230917,2023-09-17,2023,Q3,9,September,17,Sunday,False
DATE-20230918,2023-09-18,2023,Q3,9,September,18,Monday,False
DATE-20230919,2023-09-19,2023,Q3,9,September,19,Tuesday,False
DATE-20230920,2023-09-20,2023,Q3,9,September,20,Wednesday,False
DATE-20230921,2023-09-21,2023,Q3,9,September,21,Thursday,False
DATE-20230922,2023-09-22,2023,Q3,9,September,22,Friday,True
DATE-20230923,2023-09-23,2023,Q3,9,September,23,Saturday,True
DATE-20230924,2023-09-24,2023,Q3,9,September,24,Sunday,False
DATE-20230925,2023-09-25,2023,Q3,9,September,25,Monday,False
DATE-20230926,2023-09-26,2023,Q3,9,September,26,Tuesday,False
DATE-20230927,2023-09-27,2023,Q3,9,September,27,Wednesday,False
DATE-20230928,2023-09-28,2023,Q3,9,September,28,Thursday,False
DATE-20230929,2023-09-29,2023,Q3,9,September,29,Friday,True
DATE-20230930,2023-09-30,2023,Q3,9,September,30,Saturday,True
DATE-20231001,2023-10-01,2023,Q4,10,October,1,Sunday,False
DATE-20231002,2023-10-02,2023,Q4,10,October,2,Monday,False
DATE-20231003,2023-10-03,2023,Q4,10,October,3,Tuesday,False
DATE-20231004,2023-10-04,2023,Q4,10,October,4,Wednesday,False
DATE-20231005,2023-10-05,2023,Q4,10,October,5,Thursday,False
DATE-20231006,2023-10-06,2023,Q4,10,October,6,Friday,True
DATE-20231007,2023-10-07,2023,Q4,10,October,7,Saturday,True
DATE-20231008,2023-10-08,2023,Q4,10,October,8,Sunday,False
DATE-20231009,2023-10-09,2023,Q4,10,October,9,Monday,False
DATE-20231010,2023-10-10,2023,Q4,10,October,10,Tuesday,False
DATE-20231011,2023-10-11,2023,Q4,10,October,11,Wednesday,False
DATE-20231012,2023-10-12,2023,Q4,10,October,12,Thursday,False
DATE-20231013,2023-10-13,2023,Q4,10,October,13,Friday,True
DATE-20231014,2023-10-14,2023,Q4,10,October,14,Saturday,True
DATE-20231015,2023-10-15,2023,Q4,10,October,15,Sunday,False
DATE-20231016,2023-10-16,2023,Q4,10,October,16,Monday,False
DATE-20231017,2023-10-17,2023,Q4,10,October,17,Tuesday,False
DATE-20231018,2023-10-18,2023,Q4,10,October,18,Wednesday,False
DATE-20231019,2023-10-19,2023,Q4,10,October,19,Thursday,False
DATE-20231020,2023-10-20,2023,Q4,10,October,20,Friday,True
DATE-20231021,2023-10-21,2023,Q4,10,October,21,Saturday,True
DATE-20231022,2023-10-22,2023,Q4,10,October,22,Sunday,False
DATE-20231023,2023-10-23,2023,Q4,10,October,23,Monday,False
DATE-20231024,2023-10-24,2023,Q4,10,October,24,Tuesday,False
DATE-20231025,2023-10-25,2023,Q4,10,October,25,Wednesday,False
DATE-20231026,2023-10-26,2023,Q4,10,October,26,Thursday,False
DATE-20231027,2023-10-27,2023,Q4,10,October,27,Friday,True
DATE-20231028,2023-10-28,2023,Q4,10,October,28,Saturday,True
DATE-20231029,2023-10-29,2023,Q4,10,October,29,Sunday,False
DATE-20231030,2023-10-30,2023,Q4,10,October,30,Monday,False
DATE-20231031,2023-10-31,2023,Q4,10,October,31,Tuesday,False
DATE-20231101,2023-11-01,2023,Q4,11,November,1,Wednesday,False
DATE-20231102,2023-11-02,2023,Q4,11,November,2,Thursday,False
DATE-20231103,2023-11-03,2023,Q4,11,November,3,Friday,True
DATE-20231104,2023-11-04,2023,Q4,11,November,4,Saturday,True
DATE-20231105,2023-11-05,2023,Q4,11,November,5,Sunday,False
DATE-20231106,2023-11-06,2023,Q4,11,November,6,Monday,False
DATE-20231107,2023-11-07,2023,Q4,11,November,7,Tuesday,False
DATE-20231108,2023-11-08,2023,Q4,11,November,8,Wednesday,False
DATE-20231109,2023-11-09,2023,Q4,11,November,9,Thursday,False
DATE-20231110,2023-11-10,2023,Q4,11,November,10,Friday,True
DATE-20231111,2023-11-11,2023,Q4,11,November,11,Saturday,True
DATE-20231112,2023-11-12,2023,Q4,11,November,12,Sunday,False
DATE-20231113,2023-11-13,2023,Q4,11,November,13,Monday,False
DATE-20231114,2023-11-14,2023,Q4,11,November,14,Tuesday,False
DATE-20231115,2023-11-15,2023,Q4,11,November,15,Wednesday,False
DATE-20231116,2023-11-16,2023,Q4,11,November,16,Thursday,False
DATE-20231117,2023-11-17,2023,Q4,11,November,17,Friday,True
DATE-20231118,2023-11-18,2023,Q4,11,November,18,Saturday,True
DATE-20231119,2023-11-19,2023,Q4,11,November,19,Sunday,False
DATE-20231120,2023-11-20,2023,Q4,11,November,20,Monday,False
DATE-20231121,2023-11-21,2023,Q4,11,November,21,Tuesday,False
DATE-20231122,2023-11-22,2023,Q4,11,November,22,Wednesday,False
DATE-20231123,2023-11-23,2023,Q4,11,November,23,Thursday,False
DATE-20231124,2023-11-24,2023,Q4,11,November,24,Friday,True
DATE-20231125,2023-11-25,2023,Q4,11,November,25,Saturday,True
DATE-20231126,2023-11-26,2023,Q4,11,November,26,Sunday,False
DATE-20231127,2023-11-27,2023,Q4,11,November,27,Monday,False
DATE-20231128,2023-11-28,2023,Q4,11,November,28,Tuesday,False
DATE-20231129,2023-11-29,2023,Q4,11,November,29,Wednesday,False
DATE-20231130,2023-11-30,2023,Q4,11,November,30,Thursday,False
DATE-20231201,2023-12-01,2023,Q4,12,December,1,Friday,True
DATE-20231202,2023-12-02,2023,Q4,12,December,2,Saturday,True
DATE-20231203,2023-12-03,2023,Q4,12,December,3,Sunday,False
DATE-20231204,2023-12-04,2023,Q4,12,December,4,Monday,False
DATE-20231205,2023-12-05,2023,Q4,12,December,5,Tuesday,False
DATE-20231206,2023-12-06,2023,Q4,12,December,6,Wednesday,False
DATE-20231207,2023-12-07,2023,Q4,12,December,7,Thursday,False
DATE-20231208,2023-12-08,2023,Q4,12,December,8,Friday,True
DATE-20231209,2023-12-09,2023,Q4,12,December,9,Saturday,True
DATE-20231210,2023-12-10,2023,Q4,12,December,10,Sunday,False
DATE-20231211,2023-12-11,2023,Q4,12,December,11,Monday,False
DATE-20231212,2023-12-12,2023,Q4,12,December,12,Tuesday,False
DATE-20231213,2023-12-13,2023,Q4,12,December,13,Wednesday,False
DATE-20231214,2023-12-14,2023,Q4,12,December,14,Thursday,False
DATE-20231215,2023-12-15,2023,Q4,12,December,15,Friday,True
DATE-20231216,2023-12-16,2023,Q4,12,December,16,Saturday,True
DATE-20231217,2023-12-17,2023,Q4,12,December,17,Sunday,False
DATE-20231218,2023-12-18,2023,Q4,12,December,18,Monday,False
DATE-20231219,2023-12-19,2023,Q4,12,December,19,Tuesday,False
DATE-20231220,2023-12-20,2023,Q4,12,December,20,Wednesday,False
DATE-20231221,2023-12-21,2023,Q4,12,December,21,Thursday,False
DATE-20231222,2023-12-22,2023,Q4,12,December,22,Friday,True
DATE-20231223,2023-12-23,2023,Q4,12,December,23,Saturday,True
DATE-20231224,2023-12-24,2023,Q4,12,December,24,Sunday,False
DATE-20231225,2023-12-25,2023,Q4,12,December,25,Monday,False
DATE-20231226,2023-12-26,2023,Q4,12,December,26,Tuesday,False
DATE-20231227,2023-12-27,2023,Q4,12,December,27,Wednesday,False
DATE-20231228,2023-12-28,2023,Q4,12,December,28,Thursday,False
DATE-20231229,2023-12-29,2023,Q4,12,December,29,Friday,True
DATE-20231230,2023-12-30,2023,Q4,12,December,30,Saturday,True
DATE-20231231,2023-12-31,2023,Q4,12,December,31,Sunday,False
DATE-20240101,2024-01-01,2024,Q1,1,January,1,Monday,False
DATE-20240102,2024-01-02,2024,Q1,1,January,2,Tuesday,False
DATE-20240103,2024-01-03,2024,Q1,1,January,3,Wednesday,False
DATE-20240104,2024-01-04,2024,Q1,1,January,4,Thursday,False
DATE-20240105,2024-01-05,2024,Q1,1,January,5,Friday,True
DATE-20240106,2024-01-06,2024,Q1,1,January,6,Saturday,True
DATE-20240107,2024-01-07,2024,Q1,1,January,7,Sunday,False
DATE-20240108,2024-01-08,2024,Q1,1,January,8,Monday,False
DATE-20240109,2024-01-09,2024,Q1,1,January,9,Tuesday,False
DATE-20240110,2024-01-10,2024,Q1,1,January,10,Wednesday,False
DATE-20240111,2024-01-11,2024,Q1,1,January,11,Thursday,False
DATE-20240112,2024-01-12,2024,Q1,1,January,12,Friday,True
DATE-20240113,2024-01-13,2024,Q1,1,January,13,Saturday,True
DATE-20240114,2024-01-14,2024,Q1,1,January,14,Sunday,False
DATE-20240115,2024-01-15,2024,Q1,1,January,15,Monday,False
DATE-20240116,2024-01-16,2024,Q1,1,January,16,Tuesday,False
DATE-20240117,2024-01-17,2024,Q1,1,January,17,Wednesday,False
DATE-20240118,2024-01-18,2024,Q1,1,January,18,Thursday,False
DATE-20240119,2024-01-19,2024,Q1,1,January,19,Friday,True
DATE-20240120,2024-01-20,2024,Q1,1,January,20,Saturday,True
DATE-20240121,2024-01-21,2024,Q1,1,January,21,Sunday,False
DATE-20240122,2024-01-22,2024,Q1,1,January,22,Monday,False
DATE-20240123,2024-01-23,2024,Q1,1,January,23,Tuesday,False
DATE-20240124,2024-01-24,2024,Q1,1,January,24,Wednesday,False
DATE-20240125,2024-01-25,2024,Q1,1,January,25,Thursday,False
DATE-20240126,2024-01-26,2024,Q1,1,January,26,Friday,True
DATE-20240127,2024-01-27,2024,Q1,1,January,27,Saturday,True
DATE-20240128,2024-01-28,2024,Q1,1,January,28,Sunday,False
DATE-20240129,2024-01-29,2024,Q1,1,January,29,Monday,False
DATE-20240130,2024-01-30,2024,Q1,1,January,30,Tuesday,False
DATE-20240131,2024-01-31,2024,Q1,1,January,31,Wednesday,False
DATE-20240201,2024-02-01,2024,Q1,2,February,1,Thursday,False
