Product_ID,Category,Sub_Category,Product_Name
PROD-00101,Garments,Kids Wear,Kids Wear Model-281
PROD-00102,Grocery_FMCG,Cooking Oil,Cooking Oil Model-661
PROD-00103,Electronics,Feature Phone,Feature Phone Model-893
PROD-00104,Garments,Saree,Saree Model-307
PROD-00105,Garments,Kurti,Kurti Model-913
PROD-00106,Garments,Saree,Saree Model-771
PROD-00107,Electronics,Power Bank,Power Bank Model-236
PROD-00108,Garments,Kids Wear,Kids Wear Model-737
PROD-00109,Garments,Kids Wear,Kids Wear Model-377
PROD-00110,Footwear,Formal Shoe,Formal Shoe Model-698
PROD-00111,Garments,Kids Wear,Kids Wear Model-370
PROD-00112,Home_Living,Decor,Decor Model-633
PROD-00113,Electronics,Laptop,Laptop Model-273
PROD-00114,Garments,Jeans,Jeans Model-840
PROD-00115,Grocery_FMCG,Snacks,Snacks Model-441
PROD-00116,Grocery_FMCG,Cooking Oil,Cooking Oil Model-755
PROD-00117,Grocery_FMCG,Snacks,Snacks Model-567
PROD-00118,Books_Stationery,Art Supplies,Art Supplies Model-494
PROD-00119,Grocery_FMCG,Cooking Oil,Cooking Oil Model-808
PROD-00120,Books_Stationery,Story Book,Story Book Model-150
PROD-00121,Books_Stationery,Story Book,Story Book Model-178
PROD-00122,Footwear,Sneaker,Sneaker Model-264
PROD-00123,Electronics,Laptop,Laptop Model-466
PROD-00124,Electronics,Laptop,Laptop Model-818
PROD-00125,Electronics,Laptop,Laptop Model-293
PROD-00126,Garments,Jeans,Jeans Model-355
PROD-00127,Electronics,Smart Watch,Smart Watch Model-969
PROD-00128,Electronics,Power Bank,Power Bank Model-115
PROD-00129,Grocery_FMCG,Beverages,Beverages Model-271
PROD-00130,Grocery_FMCG,Beverages,Beverages Model-142
PROD-00131,Electronics,Laptop,Laptop Model-426
PROD-00132,Footwear,Sandal,Sandal Model-224
PROD-00133,Grocery_FMCG,Rice,Rice Model-355
PROD-00134,Home_Living,Bedding,Bedding Model-793
PROD-00135,Footwear,Formal Shoe,Formal Shoe Model-603
PROD-00136,Grocery_FMCG,Rice,Rice Model-265
PROD-00137,Electronics,Home Appliance,Home Appliance Model-719
PROD-00138,Garments,Saree,Saree Model-130
PROD-00139,Beauty_Health,Haircare,Haircare Model-614
PROD-00140,Garments,Kurti,Kurti Model-623
PROD-00141,Beauty_Health,Haircare,Haircare Model-414
PROD-00142,Electronics,Smartphone,Smartphone Model-238
PROD-00143,Garments,T-Shirt,T-Shirt Model-444
PROD-00144,Home_Living,Furniture,Furniture Model-470
PROD-00145,Home_Living,Bedding,Bedding Model-905
PROD-00146,Electronics,Feature Phone,Feature Phone Model-555
PROD-00147,Home_Living,Bedding,Bedding Model-822
PROD-00148,Garments,T-Shirt,T-Shirt Model-633
PROD-00149,Electronics,Power Bank,Power Bank Model-482
PROD-00150,Books_Stationery,Notebook,Notebook Model-890
PROD-00151,Electronics,Smartphone,Smartphone Model-698
PROD-00152,Books_Stationery,Office Supplies,Office Supplies Model-855
PROD-00153,Electronics,Smart Watch,Smart Watch Model-318
PROD-00154,Garments,Kids Wear,Kids Wear Model-741
PROD-00155,Grocery_FMCG,Cleaning Supplies,Cleaning Supplies Model-783
PROD-00156,Grocery_FMCG,Snacks,Snacks Model-349
PROD-00157,Footwear,Sandal,Sandal Model-443
PROD-00158,Electronics,Feature Phone,Feature Phone Model-813
PROD-00159,Electronics,Power Bank,Power Bank Model-920
PROD-00160,Beauty_Health,Haircare,Haircare Model-186
PROD-00161,Beauty_Health,Skincare,Skincare Model-262
PROD-00162,Garments,Jeans,Jeans Model-346
PROD-00163,Footwear,Formal Shoe,Formal Shoe Model-933
PROD-00164,Grocery_FMCG,Snacks,Snacks Model-510
PROD-00165,Beauty_Health,Supplements,Supplements Model-518
PROD-00166,Electronics,Feature Phone,Feature Phone Model-747
PROD-00167,Footwear,Slipper,Slipper Model-761
PROD-00168,Electronics,Power Bank,Power Bank Model-353
PROD-00169,Grocery_FMCG,Beverages,Beverages Model-339
PROD-00170,Grocery_FMCG,Rice,Rice Model-945
PROD-00171,Garments,Kids Wear,Kids Wear Model-844
PROD-00172,Garments,Kurti,Kurti Model-136
PROD-00173,Garments,Kurti,Kurti Model-398
PROD-00174,Home_Living,Furniture,Furniture Model-994
PROD-00175,Beauty_Health,Skincare,Skincare Model-454
PROD-00176,Beauty_Health,Makeup,Makeup Model-418
PROD-00177,Electronics,Smart Watch,Smart Watch Model-535
PROD-00178,Books_Stationery,Notebook,Notebook Model-881
PROD-00179,Garments,Saree,Saree Model-210
PROD-00180,Footwear,Sandal,Sandal Model-378
PROD-00181,Grocery_FMCG,Snacks,Snacks Model-503
PROD-00182,Garments,Kurti,Kurti Model-989
PROD-00183,Home_Living,Decor,Decor Model-183
PROD-00184,Electronics,Feature Phone,Feature Phone Model-434
PROD-00185,Footwear,Sandal,Sandal Model-180
PROD-00186,Electronics,Headphone,Headphone Model-612
PROD-00187,Beauty_Health,Haircare,Haircare Model-556
PROD-00188,Books_Stationery,Story Book,Story Book Model-105
PROD-00189,Grocery_FMCG,Snacks,Snacks Model-450
PROD-00190,Electronics,Feature Phone,Feature Phone Model-581
PROD-00191,Home_Living,Bedding,Bedding Model-429
PROD-00192,Home_Living,Furniture,Furniture Model-346
PROD-00193,Garments,Kurti,Kurti Model-127
PROD-00194,Garments,Kids Wear,Kids Wear Model-565
PROD-00195,Grocery_FMCG,Snacks,Snacks Model-338
PROD-00196,Electronics,Smartphone,Smartphone Model-463
PROD-00197,Home_Living,Decor,Decor Model-891
PROD-00198,Beauty_Health,Makeup,Makeup Model-863
PROD-00199,Electronics,Smartphone,Smartphone Model-115
PROD-00200,Grocery_FMCG,Cooking Oil,Cooking Oil Model-120
PROD-00201,Grocery_FMCG,Rice,Rice Model-288
PROD-00202,Home_Living,Bedding,Bedding Model-214
PROD-00203,Beauty_Health,Haircare,Haircare Model-592
PROD-00204,Footwear,Slipper,Slipper Model-811
PROD-00205,Grocery_FMCG,Rice,Rice Model-801
PROD-00206,Footwear,Slipper,Slipper Model-541
PROD-00207,Home_Living,Kitchenware,Kitchenware Model-787
PROD-00208,Beauty_Health,Makeup,Makeup Model-880
PROD-00209,Grocery_FMCG,Cleaning Supplies,Cleaning Supplies Model-557
PROD-00210,Beauty_Health,Skincare,Skincare Model-103
PROD-00211,Home_Living,Bedding,Bedding Model-270
PROD-00212,Electronics,Home Appliance,Home Appliance Model-470
PROD-00213,Garments,Saree,Saree Model-631
PROD-00214,Garments,T-Shirt,T-Shirt Model-556
PROD-00215,Garments,Saree,Saree Model-612
PROD-00216,Electronics,Smartphone,Smartphone Model-136
PROD-00217,Beauty_Health,Haircare,Haircare Model-730
PROD-00218,Grocery_FMCG,Cleaning Supplies,Cleaning Supplies Model-357
PROD-00219,Beauty_Health,Makeup,Makeup Model-942
PROD-00220,Grocery_FMCG,Cooking Oil,Cooking Oil Model-782
PROD-00221,Home_Living,Kitchenware,Kitchenware Model-722
PROD-00222,Electronics,Home Appliance,Home Appliance Model-827
PROD-00223,Books_Stationery,Office Supplies,Office Supplies Model-956
PROD-00224,Electronics,Home Appliance,Home Appliance Model-819
PROD-00225,Footwear,Sandal,Sandal Model-919
PROD-00226,Books_Stationery,Notebook,Notebook Model-564
PROD-00227,Footwear,Formal Shoe,Formal Shoe Model-897
PROD-00228,Electronics,Feature Phone,Feature Phone Model-438
PROD-00229,Electronics,Home Appliance,Home Appliance Model-181
PROD-00230,Home_Living,Furniture,Furniture Model-135
PROD-00231,Home_Living,Decor,Decor Model-237
PROD-00232,Beauty_Health,Skincare,Skincare Model-975
PROD-00233,Electronics,Power Bank,Power Bank Model-478
PROD-00234,Garments,Kids Wear,Kids Wear Model-768
PROD-00235,Home_Living,Bedding,Bedding Model-516
PROD-00236,Electronics,Home Appliance,Home Appliance Model-143
PROD-00237,Footwear,Sandal,Sandal Model-123
PROD-00238,Electronics,Power Bank,Power Bank Model-853
PROD-00239,Garments,Panjabi,Panjabi Model-857
PROD-00240,Footwear,Sandal,Sandal Model-729
PROD-00241,Electronics,Laptop,Laptop Model-295
PROD-00242,Garments,Saree,Saree Model-794
PROD-00243,Books_Stationery,Art Supplies,Art Supplies Model-388
PROD-00244,Beauty_Health,Skincare,Skincare Model-531
PROD-00245,Books_Stationery,Office Supplies,Office Supplies Model-267
PROD-00246,Electronics,Smart Watch,Smart Watch Model-776
PROD-00247,Grocery_FMCG,Cooking Oil,Cooking Oil Model-352
PROD-00248,Garments,Kids Wear,Kids Wear Model-207
PROD-00249,Garments,Jeans,Jeans Model-220
PROD-00250,Books_Stationery,Office Supplies,Office Supplies Model-560
PROD-00251,Footwear,Sneaker,Sneaker Model-364
PROD-00252,Electronics,Smart Watch,Smart Watch Model-541
PROD-00253,Grocery_FMCG,Cleaning Supplies,Cleaning Supplies Model-514
PROD-00254,Garments,Panjabi,Panjabi Model-409
PROD-00255,Grocery_FMCG,Cooking Oil,Cooking Oil Model-265
PROD-00256,Beauty_Health,Supplements,Supplements Model-560
PROD-00257,Beauty_Health,Supplements,Supplements Model-845
PROD-00258,Grocery_FMCG,Beverages,Beverages Model-553
PROD-00259,Electronics,Power Bank,Power Bank Model-795
PROD-00260,Electronics,Smartphone,Smartphone Model-116
PROD-00261,Grocery_FMCG,Rice,Rice Model-239
PROD-00262,Footwear,Sandal,Sandal Model-650
PROD-00263,Home_Living,Bedding,Bedding Model-817
PROD-00264,Grocery_FMCG,Snacks,Snacks Model-756
PROD-00265,Footwear,Formal Shoe,Formal Shoe Model-883
PROD-00266,Electronics,Smartphone,Smartphone Model-631
PROD-00267,Garments,T-Shirt,T-Shirt Model-933
PROD-00268,Books_Stationery,Story Book,Story Book Model-805
PROD-00269,Electronics,Laptop,Laptop Model-429
PROD-00270,Garments,T-Shirt,T-Shirt Model-415
PROD-00271,Garments,Kids Wear,Kids Wear Model-418
PROD-00272,Home_Living,Decor,Decor Model-653
PROD-00273,Electronics,Feature Phone,Feature Phone Model-641
PROD-00274,Footwear,Sandal,Sandal Model-996
PROD-00275,Garments,Kurti,Kurti Model-865
PROD-00276,Beauty_Health,Skincare,Skincare Model-708
PROD-00277,Garments,Kids Wear,Kids Wear Model-547
PROD-00278,Footwear,Slipper,Slipper Model-980
PROD-00279,Electronics,Feature Phone,Feature Phone Model-592
PROD-00280,Home_Living,Furniture,Furniture Model-935
PROD-00281,Garments,Jeans,Jeans Model-646
PROD-00282,Garments,Kurti,Kurti Model-173
PROD-00283,Electronics,Feature Phone,Feature Phone Model-499
PROD-00284,Garments,T-Shirt,T-Shirt Model-735
PROD-00285,Home_Living,Bedding,Bedding Model-906
PROD-00286,Grocery_FMCG,Personal Care,Personal Care Model-621
PROD-00287,Footwear,Sneaker,Sneaker Model-119
PROD-00288,Electronics,Feature Phone,Feature Phone Model-777
PROD-00289,Garments,Saree,Saree Model-596
PROD-00290,Electronics,Home Appliance,Home Appliance Model-578
PROD-00291,Footwear,Formal Shoe,Formal Shoe Model-851
PROD-00292,Footwear,Sneaker,Sneaker Model-583
PROD-00293,Home_Living,Furniture,Furniture Model-161
PROD-00294,Garments,Saree,Saree Model-197
PROD-00295,Garments,Kurti,Kurti Model-349
PROD-00296,Garments,Jeans,Jeans Model-158
PROD-00297,Footwear,Sandal,Sandal Model-368
PROD-00298,Beauty_Health,Skincare,Skincare Model-614
PROD-00299,Electronics,Feature Phone,Feature Phone Model-163
PROD-00300,Beauty_Health,Haircare,Haircare Model-402
PROD-00301,Grocery_FMCG,Rice,Rice Model-891
PROD-00302,Electronics,Smartphone,Smartphone Model-371
PROD-00303,Home_Living,Decor,Decor Model-324
PROD-00304,Books_Stationery,Notebook,Notebook Model-922
PROD-00305,Footwear,Slipper,Slipper Model-132
PROD-00306,Garments,T-Shirt,T-Shirt Model-748
PROD-00307,Grocery_FMCG,Rice,Rice Model-492
PROD-00308,Garments,Kurti,Kurti Model-258
PROD-00309,Home_Living,Bedding,Bedding Model-128
PROD-00310,Electronics,Smart Watch,Smart Watch Model-724
PROD-00311,Beauty_Health,Supplements,Supplements Model-254
PROD-00312,Grocery_FMCG,Personal Care,Personal Care Model-945
PROD-00313,Electronics,Smartphone,Smartphone Model-606
PROD-00314,Electronics,Home Appliance,Home Appliance Model-774
PROD-00315,Electronics,Power Bank,Power Bank Model-144
PROD-00316,Grocery_FMCG,Rice,Rice Model-144
PROD-00317,Books_Stationery,Story Book,Story Book Model-540
PROD-00318,Electronics,Home Appliance,Home Appliance Model-889
PROD-00319,Grocery_FMCG,Beverages,Beverages Model-900
PROD-00320,Electronics,Home Appliance,Home Appliance Model-144
PROD-00321,Home_Living,Kitchenware,Kitchenware Model-881
PROD-00322,Grocery_FMCG,Snacks,Snacks Model-690
PROD-00323,Electronics,Smart Watch,Smart Watch Model-682
PROD-00324,Grocery_FMCG,Cleaning Supplies,Cleaning Supplies Model-896
PROD-00325,Grocery_FMCG,Cleaning Supplies,Cleaning Supplies Model-831
PROD-00326,Garments,Kurti,Kurti Model-725
PROD-00327,Books_Stationery,Office Supplies,Office Supplies Model-687
PROD-00328,Grocery_FMCG,Personal Care,Personal Care Model-165
PROD-00329,Footwear,Formal Shoe,Formal Shoe Model-675
PROD-00330,Home_Living,Bedding,Bedding Model-722
PROD-00331,Footwear,Formal Shoe,Formal Shoe Model-952
PROD-00332,Garments,T-Shirt,T-Shirt Model-974
PROD-00333,Electronics,Power Bank,Power Bank Model-171
PROD-00334,Grocery_FMCG,Beverages,Beverages Model-554
PROD-00335,Garments,Kids Wear,Kids Wear Model-705
PROD-00336,Electronics,Headphone,Headphone Model-541
PROD-00337,Footwear,Sandal,Sandal Model-823
PROD-00338,Garments,Panjabi,Panjabi Model-894
PROD-00339,Grocery_FMCG,Rice,Rice Model-727
PROD-00340,Footwear,Slipper,Slipper Model-519
PROD-00341,Garments,Jeans,Jeans Model-998
PROD-00342,Garments,Saree,Saree Model-558
PROD-00343,Footwear,Sneaker,Sneaker Model-755
PROD-00344,Grocery_FMCG,Personal Care,Personal Care Model-444
PROD-00345,Grocery_FMCG,Snacks,Snacks Model-486
PROD-00346,Electronics,Headphone,Headphone Model-891
PROD-00347,Grocery_FMCG,Cleaning Supplies,Cleaning Supplies Model-243
PROD-00348,Home_Living,Decor,Decor Model-421
PROD-00349,Garments,Kurti,Kurti Model-914
PROD-00350,Garments,Panjabi,Panjabi Model-851
PROD-00351,Books_Stationery,Story Book,Story Book Model-970
PROD-00352,Electronics,Feature Phone,Feature Phone Model-717
PROD-00353,Beauty_Health,Makeup,Makeup Model-485
PROD-00354,Garments,Saree,Saree Model-894
PROD-00355,Footwear,Slipper,Slipper Model-689
PROD-00356,Garments,Panjabi,Panjabi Model-167
PROD-00357,Electronics,Feature Phone,Feature Phone Model-912
PROD-00358,Home_Living,Furniture,Furniture Model-158
PROD-00359,Grocery_FMCG,Beverages,Beverages Model-538
PROD-00360,Grocery_FMCG,Rice,Rice Model-108
PROD-00361,Grocery_FMCG,Personal Care,Personal Care Model-248
PROD-00362,Garments,Kids Wear,Kids Wear Model-951
PROD-00363,Grocery_FMCG,Beverages,Beverages Model-974
PROD-00364,Garments,Saree,Saree Model-228
PROD-00365,Footwear,Formal Shoe,Formal Shoe Model-725
PROD-00366,Electronics,Smartphone,Smartphone Model-197
PROD-00367,Electronics,Power Bank,Power Bank Model-536
PROD-00368,Electronics,Laptop,Laptop Model-557
PROD-00369,Electronics,Smartphone,Smartphone Model-220
PROD-00370,Beauty_Health,Makeup,Makeup Model-591
PROD-00371,Garments,Kurti,Kurti Model-754
PROD-00372,Garments,Jeans,Jeans Model-201
PROD-00373,Grocery_FMCG,Cooking Oil,Cooking Oil Model-444
PROD-00374,Grocery_FMCG,Cleaning Supplies,Cleaning Supplies Model-819
PROD-00375,Grocery_FMCG,Rice,Rice Model-128
PROD-00376,Electronics,Smart Watch,Smart Watch Model-832
PROD-00377,Home_Living,Bedding,Bedding Model-601
PROD-00378,Beauty_Health,Makeup,Makeup Model-316
PROD-00379,Grocery_FMCG,Cooking Oil,Cooking Oil Model-297
PROD-00380,Garments,Jeans,Jeans Model-377
PROD-00381,Electronics,Power Bank,Power Bank Model-706
PROD-00382,Footwear,Formal Shoe,Formal Shoe Model-439
PROD-00383,Home_Living,Furniture,Furniture Model-796
PROD-00384,Garments,Kids Wear,Kids Wear Model-376
PROD-00385,Grocery_FMCG,Personal Care,Personal Care Model-139
PROD-00386,Beauty_Health,Haircare,Haircare Model-892
PROD-00387,Garments,T-Shirt,T-Shirt Model-122
PROD-00388,Electronics,Smartphone,Smartphone Model-650
PROD-00389,Grocery_FMCG,Cleaning Supplies,Cleaning Supplies Model-856
PROD-00390,Electronics,Feature Phone,Feature Phone Model-659
PROD-00391,Electronics,Headphone,Headphone Model-711
PROD-00392,Garments,Kurti,Kurti Model-827
PROD-00393,Garments,Saree,Saree Model-523
PROD-00394,Footwear,Sandal,Sandal Model-683
PROD-00395,Grocery_FMCG,Rice,Rice Model-925
PROD-00396,Grocery_FMCG,Beverages,Beverages Model-547
PROD-00397,Grocery_FMCG,Cleaning Supplies,Cleaning Supplies Model-167
PROD-00398,Electronics,Feature Phone,Feature Phone Model-484
PROD-00399,Beauty_Health,Makeup,Makeup Model-799
PROD-00400,Books_Stationery,Story Book,Story Book Model-730
PROD-00401,Electronics,Power Bank,Power Bank Model-149
PROD-00402,Footwear,Formal Shoe,Formal Shoe Model-665
PROD-00403,Garments,Jeans,Jeans Model-836
PROD-00404,Electronics,Smart Watch,Smart Watch Model-210
PROD-00405,Beauty_Health,Haircare,Haircare Model-713
PROD-00406,Beauty_Health,Makeup,Makeup Model-671
PROD-00407,Grocery_FMCG,Cooking Oil,Cooking Oil Model-590
PROD-00408,Grocery_FMCG,Cooking Oil,Cooking Oil Model-607
PROD-00409,Grocery_FMCG,Beverages,Beverages Model-926
PROD-00410,Home_Living,Furniture,Furniture Model-454
PROD-00411,Beauty_Health,Skincare,Skincare Model-572
PROD-00412,Home_Living,Decor,Decor Model-848
PROD-00413,Electronics,Headphone,Headphone Model-114
PROD-00414,Garments,T-Shirt,T-Shirt Model-736
PROD-00415,Footwear,Slipper,Slipper Model-789
PROD-00416,Footwear,Formal Shoe,Formal Shoe Model-963
PROD-00417,Garments,Kurti,Kurti Model-301
PROD-00418,Garments,Panjabi,Panjabi Model-906
PROD-00419,Home_Living,Kitchenware,Kitchenware Model-509
PROD-00420,Footwear,Formal Shoe,Formal Shoe Model-760
PROD-00421,Books_Stationery,Art Supplies,Art Supplies Model-676
PROD-00422,Books_Stationery,Story Book,Story Book Model-570
PROD-00423,Garments,Kids Wear,Kids Wear Model-157
PROD-00424,Footwear,Sandal,Sandal Model-811
PROD-00425,Books_Stationery,Notebook,Notebook Model-352
PROD-00426,Grocery_FMCG,Cooking Oil,Cooking Oil Model-111
PROD-00427,Garments,Kids Wear,Kids Wear Model-644
PROD-00428,Grocery_FMCG,Personal Care,Personal Care Model-891
PROD-00429,Books_Stationery,Notebook,Notebook Model-119
PROD-00430,Home_Living,Kitchenware,Kitchenware Model-759
PROD-00431,Grocery_FMCG,Personal Care,Personal Care Model-422
PROD-00432,Garments,Kids Wear,Kids Wear Model-112
PROD-00433,Garments,Kurti,Kurti Model-514
PROD-00434,Beauty_Health,Supplements,Supplements Model-295
PROD-00435,Beauty_Health,Supplements,Supplements Model-640
PROD-00436,Footwear,Sneaker,Sneaker Model-111
PROD-00437,Grocery_FMCG,Cleaning Supplies,Cleaning Supplies Model-138
PROD-00438,Grocery_FMCG,Personal Care,Personal Care Model-905
PROD-00439,Garments,Jeans,Jeans Model-297
PROD-00440,Grocery_FMCG,Snacks,Snacks Model-529
PROD-00441,Grocery_FMCG,Beverages,Beverages Model-612
PROD-00442,Beauty_Health,Skincare,Skincare Model-624
PROD-00443,Electronics,Headphone,Headphone Model-782
PROD-00444,Garments,Kids Wear,Kids Wear Model-763
PROD-00445,Grocery_FMCG,Beverages,Beverages Model-390
PROD-00446,Garments,Kurti,Kurti Model-691
PROD-00447,Footwear,Slipper,Slipper Model-348
PROD-00448,Electronics,Headphone,Headphone Model-719
PROD-00449,Garments,Kids Wear,Kids Wear Model-848
PROD-00450,Electronics,Headphone,Headphone Model-430
PROD-00451,Electronics,Smart Watch,Smart Watch Model-220
PROD-00452,Home_Living,Kitchenware,Kitchenware Model-827
PROD-00453,Home_Living,Furniture,Furniture Model-169
PROD-00454,Electronics,Home Appliance,Home Appliance Model-340
PROD-00455,Books_Stationery,Art Supplies,Art Supplies Model-806
PROD-00456,Garments,Kids Wear,Kids Wear Model-816
PROD-00457,Grocery_FMCG,Personal Care,Personal Care Model-373
PROD-00458,Grocery_FMCG,Rice,Rice Model-586
PROD-00459,Garments,Panjabi,Panjabi Model-568
PROD-00460,Electronics,Headphone,Headphone Model-204
PROD-00461,Beauty_Health,Makeup,Makeup Model-190
PROD-00462,Garments,Kids Wear,Kids Wear Model-295
PROD-00463,Garments,Jeans,Jeans Model-986
PROD-00464,Grocery_FMCG,Beverages,Beverages Model-597
PROD-00465,Footwear,Sneaker,Sneaker Model-965
PROD-00466,Grocery_FMCG,Rice,Rice Model-268
PROD-00467,Beauty_Health,Haircare,Haircare Model-688
PROD-00468,Electronics,Home Appliance,Home Appliance Model-531
PROD-00469,Garments,Panjabi,Panjabi Model-873
PROD-00470,Electronics,Smart Watch,Smart Watch Model-907
PROD-00471,Garments,T-Shirt,T-Shirt Model-782
PROD-00472,Electronics,Laptop,Laptop Model-827
PROD-00473,Footwear,Formal Shoe,Formal Shoe Model-294
PROD-00474,Footwear,Sandal,Sandal Model-258
PROD-00475,Garments,Panjabi,Panjabi Model-412
PROD-00476,Grocery_FMCG,Cleaning Supplies,Cleaning Supplies Model-608
PROD-00477,Electronics,Laptop,Laptop Model-329
PROD-00478,Grocery_FMCG,Rice,Rice Model-564
PROD-00479,Garments,T-Shirt,T-Shirt Model-299
PROD-00480,Garments,T-Shirt,T-Shirt Model-655
PROD-00481,Books_Stationery,Notebook,Notebook Model-166
PROD-00482,Garments,T-Shirt,T-Shirt Model-662
